opeid6,INSTNM_MAIN,INSTNM_FREQ,NUMBRANCH,MULTBRANCH,BRANCHLIST,MULTIPEDS,IPEDSLIST,PREDDEG,HIGHDEG,ICLEVEL_MAIN,ICLEVEL_FREQ,INSTCAT_MAIN,INSTCAT_FREQ,ACT_MAIN,ACT_FREQ,OPEFLAG_MAIN,OPEFLAG_FREQ,CONTROL_MAIN,CONTROL_FREQ,CITY_MAIN,CITY_FREQ,ZIP_MAIN,ZIP_FREQ,ST_FIPS_MAIN,ST_FIPS_FREQ,STABBR_MAIN,STABBR_FREQ,REGION_MAIN,REGION_FREQ,LOCALE_MAIN,LOCALE_FREQ,LONGITUDE_MAIN,LONGITUDE_FREQ,LATITUDE_MAIN,LATITUDE_FREQ,CCBASIC_MAIN,CCBASIC_FREQ,CCIPUG_MAIN,CCIPUG_FREQ,CCSIZSET_MAIN,CCSIZSET_FREQ,USN_UNIV_overallrank_MAIN,USN_UNIV_overallrank_FREQ,USN_UNIV_GradRetRank_MAIN,USN_UNIV_GradRetRank_FREQ,USN_UNIV_FacResRank_MAIN,USN_UNIV_FacResRank_FREQ,USN_UNIV_SelecRank_MAIN,USN_UNIV_SelecRank_FREQ,USN_UNIV_FinResRank_MAIN,USN_UNIV_FinResRank_FREQ,USN_UNIV_AlumGivRank_MAIN,USN_UNIV_AlumGivRank_FREQ,USN_LA_overallrank_MAIN,USN_LA_overallrank_FREQ,USN_LA_GradRetRank_MAIN,USN_LA_GradRetRank_FREQ,USN_LA_FacResRank_MAIN,USN_LA_FacResRank_FREQ,USN_LA_SelecRank_MAIN,USN_LA_SelecRank_FREQ,USN_LA_FinResRank_MAIN,USN_LA_FinResRank_FREQ,USN_LA_AlumGivRank_MAIN,USN_LA_AlumGivRank_FREQ,HBCU,TRIBAL,MSI,WOMENONLY,ADM_RATE,SAT_AVG,SATVRMID,SATMTMID,SATWRMID,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,UGDS_MEN,UGDS_WOMEN,COSTT4_A,COSTT4_P,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,NPT4_LO2_PUB,NPT4_LO2_PRIV,NUM4_PUB,NUM4_PRIV,NUM41_PUB,NUM42_PUB,NUM43_PUB,NUM44_PUB,NUM45_PUB,NUM41_PRIV,NUM42_PRIV,NUM43_PRIV,NUM44_PRIV,NUM45_PRIV,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,TUITFTE,EDEXPFTE,INEXPFTE,AVGFACSAL,PFTFAC,PCTPELL,PCTFLOAN,C150_4,C150_4_WHITE,C150_4_BLACK,C150_4_HISP,C150_4_ASIAN,C150_4_AIAN,C150_4_NHPI,C150_4_2MOR,C150_4_NRA,C150_4_UNKN,C150_4_MEN,C150_4_WOMEN,D150_4,D150_4_WHITE,D150_4_BLACK,D150_4_HISP,D150_4_ASIAN,D150_4_AIAN,D150_4_NHPI,D150_4_2MOR,D150_4_NRA,D150_4_UNKN,D150_4_MEN,D150_4_WOMEN,C150_L4,C150_L4_WHITE,C150_L4_BLACK,C150_L4_HISP,C150_L4_ASIAN,C150_L4_AIAN,C150_L4_NHPI,C150_L4_2MOR,C150_L4_NRA,C150_L4_UNKN,C150_L4_MEN,C150_L4_WOMEN,D150_L4,D150_L4_WHITE,D150_L4_BLACK,D150_L4_HISP,D150_L4_ASIAN,D150_L4_AIAN,D150_L4_NHPI,D150_L4_2MOR,D150_L4_NRA,D150_L4_UNKN,D150_L4_MEN,D150_L4_WOMEN,PFTFTUG1_EF,PFTFTUG2_EF,PPTUG_EF,C200_4,D200_4,C200_L4,D200_L4,RET_FT4,RET_FT_DEN4,RET_FTL4,RET_FT_DENL4,RET_PT4,RET_PT_DEN4,RET_PTL4,RET_PT_DENL4
034685,ATS Institute of Technology,ATS Institute of Technology,1,0,,0,439455,1,2,2,2,4,4,A,A,1,1,3,3,Highland Heights,Highland Heights,44143,44143,39,39,OH,OH,3,3,21,21,-81.4511,-81.4511,41.5476,41.5476,10,10,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.8508,,,,,,,,,,,,,,,,,,,,,,,0.1694,,,,,,,,,,,,,,,,,,,,,0.8306,,,538,0.158,0.7751,0.0353,0.0316,0.0,0.0,0.0,0.0,0.0,0.0911,0.9089,36236,,,32165,,,,,,31619,33161,33736,36236,,,31989,,54,,,,,,38,12,3,1,0,26005,26005,,11523,6253,3317,5240,,0.852,0.9275,,,,,,,,,,,,,,,,,,,,,,,,,0.7815,0.7632,0.7838,0.75,1.0,,,,,,0.7368,0.79,119,38,74,4,3,0,0,0,0,0,19,100,0.8495,0.8495,0.1599,,,0.7869,122,,,0.8246,57.0,,,0.7273,33.0
031603,"AVTEC-Alaska's Institute of Technology","AVTEC-Alaska's Institute of Technology",1,0,,0,102711,1,1,3,3,6,6,A,A,1,1,1,1,Seward,Seward,99664-0889,99664-0889,2,2,AK,AK,8,8,43,43,-149.4446,-149.4446,60.1107,60.1107,-3,-3,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.5745,,,,,,,,,,,,,,,0.0761,0.0692,,,0.0415,,,,,,,,,,,,,,,,,,,,0.0311,0.1938,0.083,0.0242,,0.391,0.09,,1011,0.5747,0.0168,0.0406,0.0069,0.182,0.003,0.0386,0.0,0.1375,0.7755,0.2245,,17858,13276,,12041,15041,17858,,,,,,,,12859,,12,,8,3,1,0,0,,,,,,,,3025,3651,23271,18067,,,0.073,0.046,,,,,,,,,,,,,,,,,,,,,,,,,0.9078,,,,,,,,,,,,358,,,,,,,,,,,,,0.3021,0.6795,,,0.7647,357,0.8534,498.0,,,1.0,38.0,,
023178,American Institute of Technology,American Institute of Technology,1,0,,0,103811,1,1,3,3,6,6,A,A,1,1,3,3,Phoenix,Phoenix,85043-4729,85043-4729,4,4,AZ,AZ,6,6,11,11,-112.1753,-112.1753,33.4423,33.4423,-3,-3,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,474,0.4346,0.2489,0.2236,0.0232,0.0148,0.0127,0.0,0.0,0.0422,0.8966,0.1034,,22284,,19229,,,,,,18913,19848,22284,20825,22037,,19025,,1068,,,,,,852,116,15,72,13,,,8720,5305,7650,2655,,,0.5589,0.855,,,,,,,,,,,,,,,,,,,,,,,,,0.6841,,,,,,,,,,,,630,,,,,,,,,,,,,1.0,,,,0.7579,913,,,,,,,,
002151,Benjamin Franklin Institute of Technology,Benjamin Franklin Institute of Technology,1,0,,0,165884,2,3,1,1,3,3,A,A,1,1,2,2,Boston,Boston,02116,02116,25,25,MA,MA,1,1,11,11,-71.0702,-71.0702,42.346,42.346,28,28,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.3563,,,,,,,,,,,,,,,,,,,,0.1034,0.454,,,,0.0862,,,445,0.3011,0.3258,0.164,0.0944,0.0,0.0045,0.027,0.018,0.0652,0.9034,0.0966,23604,,,15057,,,,,,13281,16041,17554,20138,22716,,13679,,164,,,,,,107,18,19,11,9,16950,16950,,12097,11294,5326,4213,0.4857,0.5826,0.7585,0.5714,0.6757,0.5152,0.5263,0.5789,,,,,0.5556,0.5771,0.5,189,37,33,19,19,0,0,0,0,81,175,14,,,,,,,,,,,,,,,,,,,,,,,,,0.7148,0.9892,0.1034,,,,,,,,0.0,,,,0.0
039143,CALC Institute of Technology,CALC Institute of Technology,1,0,,0,446084,1,1,3,3,6,6,A,A,1,1,3,3,Alton,Alton,62002,62002,17,17,IL,IL,3,3,23,23,-90.1741,-90.1741,38.9246,38.9246,-3,-3,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,0.1062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8761,0.0177,,213,0.5352,0.4507,0.0047,0.0047,0.0047,0.0,0.0,0.0,0.0,0.1127,0.8873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11071,8679,8837,3963,,,0.7748,0.4885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0962,0.9108,,,,,,,,0.0,,,0.9149,47.0
001131,California Institute of Technology,California Institute of Technology,1,0,,0,110404,3,4,1,1,2,2,A,A,1,1,2,2,Pasadena,Pasadena,91125,91125,6,6,CA,CA,8,8,12,12,-118.1257,-118.1257,34.1393,34.1393,15,15,8,8,11,11,10,10,22,22,11,11,1,1,1,1,30,30,,,,,,,,,,,,,0,0,0,0,0.1277,1520,745,780,745,34,34,35,,,,,,,,0.1164,,,0.4353,,,,,0.0043,,,0.1034,0.0991,,0.0043,,0.0,,0.2284,,,,,0.0043,,,,,,,0.0043,0.0,997,0.3149,0.0171,0.1043,0.3962,0.003,0.003,0.0502,0.1073,0.004,0.6169,0.3831,54090,,,24426,,,,,,6444,2413,8479,24274,35539,,4909,,95,,,,,,13,8,9,15,50,39588,39588,,15142,115699,90151,15818,0.9495,0.1145,0.272,0.919,0.9114,1.0,1.0,0.9239,,,1.0,0.913,0.6667,0.8933,0.9833,210,79,2,10,92,0,0,1,23,3,150,60,,,,,,,,,,,,,,,,,,,,,,,,,0.9814,1.0,,0.913,207,,,,,0.9628,242.0,,,,
009186,Dean Institute of Technology,Dean Institute of Technology,1,0,,0,211909,2,2,2,2,4,4,A,A,1,1,3,3,Pittsburgh,Pittsburgh,15226-1197,15226-1197,42,42,PA,PA,2,2,11,11,-80.0157,-80.0157,40.41,40.41,10,10,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,0.3026,,,,,,,,,,,,,,,,,,,,0.4605,,0.2368,,,,,,165,0.6303,0.3697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9879,0.0121,22258,,,18300,,,,,,17778,20058,20758,,,,18244,,45,,,,,,35,9,1,0,0,13050,13050,,8660,6720,2614,,0.48,0.7114,0.8389,,,,,,,,,,,,,,,,,,,,,,,,,0.9091,0.9412,0.8571,,,,,,,,0.9074,1.0,55,34,21,0,0,0,0,0,0,0,54,1,0.7826,0.7826,0.2788,,,0.9048,42,,,0.963,54.0,,,0.8667,15.0
037243,DigiPen Institute of Technology,DigiPen Institute of Technology,1,0,,0,443410,3,4,1,1,2,2,A,A,1,1,3,3,Redmond,Redmond,98052,98052,53,53,WA,WA,8,8,13,13,-122.1497,-122.1497,47.6895,47.6895,22,22,16,16,6,6,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.515,1228,590,620,545,29,27,29,,,,,,,0.4462,0.5385,,,0.0154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963,0.5161,0.0062,0.055,0.0633,0.0021,0.0021,0.0395,0.0841,0.2316,0.8079,0.1921,38463,,,35222,,,,,,35287,35345,33427,34747,36983,,35301,,99,,,,,,53,17,9,11,9,25760,25760,,18509,19418,6347,7130,0.4851,0.347,0.6893,0.5722,0.5758,0.0,0.4167,0.5,0.0,,0.0,1.0,0.9231,0.5808,0.5,187,132,1,12,14,1,0,7,7,13,167,20,,,,,,,,,,,,,,,,,,,,,,,,,0.5281,1.0,0.0841,0.7164,134,,,,,0.7578,128.0,,,0.0,1.0
011481,Divers Institute of Technology,Divers Institute of Technology,1,0,,0,235088,1,1,3,3,6,6,A,A,1,1,3,3,Seattle,Seattle,98103,98103,53,53,WA,WA,8,8,11,11,-122.3421,-122.3421,47.648,47.648,-3,-3,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,203,0.7783,0.0197,0.0394,0.0,0.0049,0.0296,0.1133,0.0,0.0148,0.9606,0.0394,,33945,,31684,,,,,,31019,31473,32771,33945,33945,,31130,,213,,,,,,124,40,17,16,16,,,21920,12043,12601,3725,,,0.5061,0.489,,,,,,,,,,,,,,,,,,,,,,,,,0.922,,,,,,,,,,,,205,,,,,,,,,,,,,1.0,,,,0.9541,218,,,0.1062,113.0,,,,
035723,East Valley Institute of Technology,East Valley Institute of Technology,1,0,,0,441210,1,1,3,3,6,6,A,A,1,1,1,1,Mesa,Mesa,85201,85201,4,4,AZ,AZ,6,6,11,11,-111.8655,-111.8655,33.4148,33.4148,-3,-3,-3,-3,-3,-3,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,0.0,0.0,0.4142,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,0.0032,0.0712,0.0421,,0.0,0.4369,0.0324,,308,0.6494,0.0325,0.2922,0.0032,0.0162,0.0065,0.0,0.0,0.0,0.3442,0.6558,,13361,9358,,8995,,12261,,,,,,,,8995,,9,,8,0,1,0,0,,,,,,,,11069,3959,4609,2342,,,0.2751,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.5333,,,,,,,,,,,,15,,,,,,,,,,,,,0.4255,0.539,,,0.8019,313,0.6813,91.0,,,0.4756,246.0,,
